Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Exp ID,Well ID
200.0,19.0,0.023977367262113004,125.0,259.0,Splitting,[27.0],03d00h00m,VID289,B4
201.0,20.0,0.025895010264129704,124.0,517.0,Splitting,[21.0],03d00h00m,VID289,B4
28.0,40.0,0.07324214942664548,235.0,427.0,Move,,03d00h00m,VID289,B4
31.0,41.0,0.07600582529567029,189.0,509.0,Move,,03d00h00m,VID289,B4
35.0,47.0,0.09328630275845784,221.0,667.0,Move,,03d00h00m,VID289,B4
202.0,54.0,0.11488457811278235,262.0,566.0,Splitting,[40.0],03d00h00m,VID289,B4
41.0,63.0,0.14477111463790215,252.0,323.0,Move,,03d00h00m,VID289,B4
203.0,66.0,0.15523405325118997,255.0,65.0,Splitting,[188.0],03d00h00m,VID289,B4
55.0,75.0,0.18804551906783346,300.0,503.0,Move,,03d00h00m,VID289,B4
204.0,86.0,0.23089725552495632,289.0,246.0,Splitting,[56.0],03d00h00m,VID289,B4
205.0,92.0,0.25547760432415745,295.0,302.0,Splitting,[56.0],03d00h00m,VID289,B4
40.0,99.0,0.28518316587708553,303.0,655.0,Move large,[40.0],03d00h00m,VID289,B4
74.0,113.0,0.3477673125334168,419.0,234.0,Move,,03d00h00m,VID289,B4
62.0,115.0,0.35704080624850654,354.0,404.0,Move large,[62.0],03d00h00m,VID289,B4
208.0,123.0,0.3949378532499142,369.0,66.0,Appearance type 1,,03d00h00m,VID289,B4
71.0,126.0,0.4094745475215827,358.0,504.0,Move,,03d00h00m,VID289,B4
209.0,144.0,0.5002819478955256,383.0,775.0,Appearance type 1,,03d00h00m,VID289,B4
75.0,160.0,0.5859371954131638,472.0,598.0,Coagulation,"[75.0, 93.0]",03d00h00m,VID289,B4
92.0,175.0,0.6702366418421394,444.0,421.0,Move,,03d00h00m,VID289,B4
210.0,207.0,0.8622369145940315,526.0,107.0,Splitting,[191.0],03d00h00m,VID289,B4
211.0,220.0,0.9447243628737213,516.0,430.0,Splitting,[129.0],03d00h00m,VID289,B4
212.0,227.0,0.9901702639627336,531.0,410.0,Splitting,[129.0],03d00h00m,VID289,B4
213.0,231.0,1.0164571235458049,529.0,449.0,Splitting,[129.0],03d00h00m,VID289,B4
214.0,236.0,1.0496369206109966,556.0,263.0,Splitting,[118.0],03d00h00m,VID289,B4
215.0,251.0,1.1512818981808104,562.0,311.0,Splitting,[118.0],03d00h00m,VID289,B4
129.0,253.0,1.1650696143378991,585.0,403.0,Move,,03d00h00m,VID289,B4
191.0,258.0,1.1997773336923139,568.0,9.0,Move large,[191.0],03d00h00m,VID289,B4
125.0,275.0,1.3202924346161373,597.0,573.0,Move large,[125.0],03d00h00m,VID289,B4
143.0,276.0,1.3275005726562574,637.0,267.0,Move,,03d00h00m,VID289,B4
218.0,278.0,1.341956035356287,589.0,747.0,Splitting,[138.0],03d00h00m,VID289,B4
219.0,295.0,1.4669121913623366,607.0,126.0,Splitting,[195.0],03d00h00m,VID289,B4
140.0,307.0,1.5573228547898883,628.0,449.0,Move,,03d00h00m,VID289,B4
220.0,318.0,1.641767952665496,634.0,373.0,Splitting,[196.0],03d00h00m,VID289,B4
221.0,319.0,1.649518226132814,637.0,109.0,Splitting,[144.0],03d00h00m,VID289,B4
133.0,320.0,1.657280656904301,645.0,521.0,Move,,03d00h00m,VID289,B4
145.0,322.0,1.6728419144058901,661.0,608.0,Move,,03d00h00m,VID289,B4
222.0,332.0,1.7513712636259748,677.0,418.0,Splitting,[150.0],03d00h00m,VID289,B4
223.0,347.0,1.8713943165635187,691.0,468.0,Splitting,[150.0],03d00h00m,VID289,B4
160.0,356.0,1.9446707902166074,745.0,738.0,Move,,03d00h00m,VID289,B4
159.0,361.0,1.9857834957265106,746.0,319.0,Coagulation,"[159.0, 171.0]",03d00h00m,VID289,B4
162.0,377.0,2.119254525882032,738.0,544.0,Move,,03d00h00m,VID289,B4
198.0,379.0,2.136140966689015,750.0,219.0,Move,,03d00h00m,VID289,B4
169.0,390.0,2.2298107482680116,769.0,885.0,Move,,03d00h00m,VID289,B4
178.0,391.0,2.238392438667545,774.0,440.0,Coagulation,"[178.0, 184.0]",03d00h00m,VID289,B4
224.0,405.0,2.35968281031882,784.0,618.0,Appearance type 3,,03d00h00m,VID289,B4
225.0,408.0,2.3859500015792343,768.0,571.0,Splitting,[182.0],03d00h00m,VID289,B4
